row_type,dataset,seed,test_macro_f1,test_micro_f1,p_at_1,p_at_3,p_at_5,r_precision,train_total_time_sec,epochs_completed,train_peak_gpu_memory_mb,train_avg_gpu_memory_mb,inference_total_time_sec,inference_throughput_samples_per_sec,inference_peak_gpu_memory_mb,best_val_macro_f1,best_val_micro_f1
seed,WebOfScience,1,0.808362,0.866559,0.909226,0.59817,0.371736,0.861977,18476.745,19,16591.83,1397.06,56.796,165.45,1647.77,0.808789,0.869992
seed,WebOfScience,2,0.811438,0.869286,0.910397,0.600333,0.374247,0.864159,18449.602,19,16591.83,1397.06,57.189,164.32,1647.77,0.808052,0.870981
seed,WebOfScience,3,0.808281,0.867534,0.910823,0.602107,0.374715,0.863627,15537.841,16,16591.83,1397.06,57.202,164.28,1647.77,0.807731,0.873577
seed,WebOfScience,4,0.810691,0.868041,0.908588,0.601256,0.374226,0.864318,18452.551,19,16591.83,1397.06,57.379,163.77,1647.77,0.809013,0.874603
seed,WebOfScience,5,0.814948,0.870061,0.913057,0.601043,0.374886,0.865649,16527.51,17,16591.83,1397.06,57.284,164.04,1647.77,0.811395,0.87158
mean,WebOfScience,,0.810744,0.8682962,0.9104182,0.6005817999999999,0.373962,0.863946,17488.8498,18,16591.83,1397.06,57.17,164.37199999999999,1647.77,0.8089959999999999,0.8721466
std_sample,WebOfScience,,0.002733969367055883,0.001392673938867243,0.0017247138023452114,0.00148930913513615,0.0012773783699436883,0.0013287855357430745,1374.619153403116,1.4142135623730951,0.0,0.0,0.2224511182260044,0.6414592738436262,0.0,0.0014395919560764407,0.001897492108020495
std_population,WebOfScience,,0.0024453365412556113,0.0012456454391198168,0.0015426309215104115,0.0013320785862703406,0.0011425219472727844,0.0011885019141759964,1229.4967480730313,1.2649110640673518,0.0,0.0,0.19896632880967532,0.5737386164448004,0.0,0.0012876101894595251,0.0016971685361212804
min,WebOfScience,,0.808281,0.866559,0.908588,0.59817,0.371736,0.861977,15537.841,16,16591.83,1397.06,56.796,163.77,1647.77,0.807731,0.869992
max,WebOfScience,,0.814948,0.870061,0.913057,0.602107,0.374886,0.865649,18476.745,19,16591.83,1397.06,57.379,165.45,1647.77,0.811395,0.874603
