row_type,dataset,seed,test_macro_f1,test_micro_f1,p_at_1,p_at_3,p_at_5,r_precision,train_total_time_sec,epochs_completed,train_peak_gpu_memory_mb,train_avg_gpu_memory_mb,inference_total_time_sec,inference_throughput_samples_per_sec,inference_peak_gpu_memory_mb,best_val_macro_f1,best_val_micro_f1
seed,nyt,1,0.675202,0.785226,0.93774,0.833928,0.714427,0.839529,18917.596,34,16603.31,1398.13,35.171,207.33,1649.01,0.679342,0.786036
seed,nyt,2,0.666474,0.782894,0.936231,0.832145,0.713494,0.836674,17315.915,31,16603.31,1398.13,35.148,207.47,1649.01,0.677343,0.787105
seed,nyt,3,0.668393,0.781799,0.937877,0.833928,0.713055,0.839209,22141.543,40,16603.31,1398.13,35.063,207.97,1649.01,0.672842,0.783216
seed,nyt,4,0.676983,0.788466,0.941717,0.836945,0.716456,0.842813,20065.398,36,16603.31,1398.13,34.683,210.24,1649.01,0.68295,0.787314
seed,nyt,5,0.676627,0.788877,0.947888,0.839642,0.719007,0.845267,15085.221,27,16603.31,1398.13,35.18,207.28,1649.01,0.680063,0.789157
mean,nyt,,0.6727358,0.7854524,0.9402906,0.8353176,0.7152878,0.8406984,18705.1346,33.6,16603.31,1398.13,35.049,208.058,1649.01,0.678508,0.7865656
std_sample,nyt,,0.0049328576606263285,0.003191930027428558,0.004705488316848719,0.002969689933309536,0.002456686325113551,0.003358766261590703,2680.394776145354,4.929503017546495,0.0,0.0,0.20976057780240823,1.2499879999424015,0.0,0.003751857073503693,0.0021832719253450697
std_population,nyt,,0.004412082020996424,0.00285494900830121,0.004208716697521922,0.002656171425190776,0.0021973270489392197,0.003004171872579861,2397.4179703985374,4.409081537009721,0.0,0.0,0.1876155643863273,1.1180232555720853,0.0,0.0033557629832870733,0.0019527777753753689
min,nyt,,0.666474,0.781799,0.936231,0.832145,0.713055,0.836674,15085.221,27,16603.31,1398.13,34.683,207.28,1649.01,0.672842,0.783216
max,nyt,,0.676983,0.788877,0.947888,0.839642,0.719007,0.845267,22141.543,40,16603.31,1398.13,35.18,210.24,1649.01,0.68295,0.789157
