row_type,dataset,seed,test_macro_f1,test_micro_f1,p_at_1,p_at_3,p_at_5,r_precision,train_total_time_sec,epochs_completed,train_peak_gpu_memory_mb,train_avg_gpu_memory_mb,inference_total_time_sec,inference_throughput_samples_per_sec,inference_peak_gpu_memory_mb,best_val_macro_f1,best_val_micro_f1
seed,rcv1,1,0.682819,0.859879,0.963704,0.83354,0.579015,0.903809,12697.247,27,16573.02,1395.7,3185.542,245.25,1646.96,0.6954,0.878391
seed,rcv1,2,0.677588,0.858215,0.970772,0.832064,0.57766,0.901423,9448.506,20,16573.02,1395.7,3268.232,239.05,1646.96,0.679229,0.876179
seed,rcv1,3,0.688549,0.859809,0.962,0.83186,0.577919,0.900842,15435.595,33,16573.02,1395.7,3250.037,240.39,1646.96,0.692274,0.87467
seed,rcv1,4,0.675551,0.856469,0.966771,0.830357,0.577073,0.899083,10790.422,23,16573.02,1395.7,3201.188,244.05,1646.96,0.678205,0.876116
seed,rcv1,5,0.675921,0.864759,0.9676,0.83313,0.578219,0.902186,11737.448,25,16573.02,1395.7,3245.931,240.69,1646.96,0.684956,0.87604
mean,rcv1,,0.6800856,0.8598262,0.9661694,0.8321902,0.5779772,0.9014686,12021.8436,25.6,16573.02,1395.7,3230.186,241.886,1646.96,0.6860128,0.8762792
std_sample,rcv1,,0.005550790736462673,0.0030904027569234587,0.003429816292456495,0.0012440623778573012,0.000717125651472606,0.001737665761877127,2254.396526321024,4.878524367060187,0.0,0.0,35.083600449497744,2.632048631769559,0.0,0.007671711979734394,0.0013363303109635992
std_population,rcv1,,0.004964778166242662,0.002764140256933445,0.0030677209521076084,0.001112723218055582,0.0006414166820406277,0.0015542155062924874,2016.3935524372814,4.363484845854286,0.0,0.0,31.379726200207653,2.354175864288819,0.0,0.0068617877961942375,0.001195250166283216
min,rcv1,,0.675551,0.856469,0.962,0.830357,0.577073,0.899083,9448.506,20,16573.02,1395.7,3185.542,239.05,1646.96,0.678205,0.87467
max,rcv1,,0.688549,0.864759,0.970772,0.83354,0.579015,0.903809,15435.595,33,16573.02,1395.7,3268.232,245.25,1646.96,0.6954,0.878391
