domain,dataset,method,status,r_precision_mean,r_precision_std,p_at_1_mean,p_at_1_std,p_at_3_mean,p_at_3_std,p_at_5_mean,p_at_5_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std
HTC,WOS,XR-Transformer,complete,82.37,1.42,89.94,0.88,58.34,0.93,36.29,0.67,81.46,1.83,69.80,0.78
HTC,WOS,CascadeXML,complete,86.25,0.24,90.70,0.15,59.61,0.03,36.92,0.01,86.70,0.17,80.86,0.25
HTC,WOS,HGCLR,complete,86.39,0.12,91.04,0.15,60.06,0.13,37.40,0.11,86.82,0.12,81.07,0.24
HTC,WOS,HBGL,complete,85.90,0.15,88.30,0.29,57.45,0.11,34.48,0.06,87.27,0.15,81.87,0.29
HTC,WOS,RADAr,complete,86.60,0.17,91.43,0.10,57.73,0.11,34.64,0.06,86.60,0.17,81.04,0.26
HTC,NYT,XR-Transformer,complete,84.86,1.53,94.76,1.01,84.56,0.78,72.33,0.67,78.90,0.75,66.83,1.50
HTC,NYT,CascadeXML,complete,85.31,0.09,95.66,0.29,84.77,0.16,72.36,0.11,79.67,0.07,67.62,0.12
HTC,NYT,HGCLR,complete,84.07,0.30,94.03,0.42,83.53,0.27,71.53,0.22,78.55,0.29,67.27,0.44
HTC,NYT,HBGL,complete,78.78,0.16,82.14,0.09,77.36,0.21,65.82,0.10,80.33,0.14,69.73,0.07
HTC,NYT,RADAr,complete,79.74,0.13,94.71,0.08,81.27,0.21,68.46,0.07,79.04,0.34,67.37,0.92
HTC,RCV1-V2,XR-Transformer,complete,90.26,0.56,97.35,0.30,83.47,0.26,57.22,0.28,86.04,0.31,64.43,1.18
HTC,RCV1-V2,CascadeXML,complete,90.45,0.10,96.62,0.16,83.38,0.09,57.86,0.04,86.65,0.11,68.23,0.08
HTC,RCV1-V2,HGCLR,complete,90.15,0.16,96.62,0.31,83.22,0.11,57.80,0.06,85.98,0.27,68.00,0.50
HTC,RCV1-V2,HBGL,complete,85.48,0.16,92.90,0.57,80.39,0.25,54.32,0.10,87.00,0.05,70.48,0.29
HTC,RCV1-V2,RADAr,complete,86.80,0.02,96.61,0.09,81.46,0.03,54.70,0.03,87.26,0.05,69.07,0.54
XML,Wiki10-31K,XR-Transformer,complete,38.12,0.88,88.35,0.29,79.66,0.69,70.27,0.85,15.12,0.09,0.35,0.02
XML,Wiki10-31K,CascadeXML,complete,33.81,0.06,87.02,0.57,76.81,0.01,66.53,0.20,31.63,0.79,3.24,1.41
XML,Wiki10-31K,HGCLR,did_not_complete,,,,,,,,,,,,
XML,Wiki10-31K,HBGL,complete,19.16,0.20,67.53,0.86,52.51,0.64,46.96,0.57,26.45,0.21,1.95,0.07
XML,Wiki10-31K,RADAr,complete,26.40,0.31,79.87,0.26,53.74,0.60,44.91,0.81,26.99,0.39,3.25,0.20
XML,AmazonCat-13K,XR-Transformer,complete,82.02,0.75,96.54,0.34,83.38,0.28,67.76,0.31,72.18,0.83,34.98,1.12
XML,AmazonCat-13K,CascadeXML,complete,81.56,0.33,96.06,0.43,82.72,0.23,67.35,0.29,75.37,0.55,40.58,0.14
XML,AmazonCat-13K,HGCLR,did_not_complete,,,,,,,,,,,,
XML,AmazonCat-13K,HBGL,complete,64.96,0.27,79.02,0.17,72.04,0.13,56.42,0.27,70.64,0.24,16.76,0.38
XML,AmazonCat-13K,RADAr,complete,74.75,0.41,95.14,0.06,77.40,0.17,61.26,0.21,69.95,0.27,33.33,0.96
